Train_Size,RMSE_UP,RMSE_AVG,RMSE_median,RMSE_OP
23,288.8608592351301,53.480196853639704,52.52977456394127,130.45437840645153
36,264.05729721321507,42.66230246567101,42.65949829368579,120.69693567307581
36,288.2229807505265,27.85879565810483,30.13378861056094,98.76289641487476
37,279.7804025683011,33.16248373408854,40.69218243569616,101.18750503222635
41,316.55201706066197,42.748571219023,45.56395253672902,119.74441378533464
46,243.8667532443114,39.73535158221149,38.260954209991915,119.4497595585846
49,279.34985837740317,28.04972429153981,23.054341280359797,116.18364699977953
57,294.1370765305534,29.042580612669855,34.52563971300475,107.7170942796725
65,308.72786351759595,34.163887739993605,33.754612375047,124.48554922806386
71,174.56089122001197,20.326731332844375,28.232485167191573,70.22591586021144
74,82.44511337081236,10.855386288266471,11.876882932225321,68.27673913736032
80,367.08674386160834,35.08865651867311,24.59748123205718,129.911274286207
81,127.13779165964986,16.902553275343752,14.410611368435928,89.11923003200492
